name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",107921410,5.27426,5.27513,ns,,,,,
"benchmark_c/16",53069680,13.3376,13.3251,ns,,,,,
"benchmark_c/256",3977339,176.3,176.33,ns,,,,,
"benchmark_c/512",2049207,342.805,342.828,ns,,,,,
"benchmark_c/1024",1030411,675.778,675.825,ns,,,,,
"benchmark_c/2048",522110,1350.88,1350.9,ns,,,,,
"benchmark_c/4096",260363,2688.18,2688.53,ns,,,,,
"benchmark_c/8192",131542,5363.49,5363.77,ns,,,,,
"benchmark_c/16384",65787,10804.6,10805.6,ns,,,,,
"benchmark_c/32768",32475,21571.9,21575.1,ns,,,,,
"benchmark_c/65536",16325,43391.5,43397.8,ns,,,,,
"benchmark_c/131072",8192,87222.7,87235.6,ns,,,,,
"benchmark_c/262144",4013,174033,174062,ns,,,,,
"benchmark_c/524288",1978,351846,351887,ns,,,,,
"benchmark_c/1048576",913,739698,739781,ns,,,,,
"benchmark_c/2097152",464,1.5076e+06,1.50784e+06,ns,,,,,
"benchmark_c/4194304",233,3.00701e+06,3.00712e+06,ns,,,,,
"benchmark_c/8388608",119,5.89693e+06,5.89773e+06,ns,,,,,
"benchmark_c/16777216",60,1.17729e+07,1.17713e+07,ns,,,,,
"benchmark_c_unrolled_8/4",118439020,5.89582,5.89657,ns,,,,,
"benchmark_c_unrolled_8/16",91626455,7.64475,7.64592,ns,,,,,
"benchmark_c_unrolled_8/256",6632492,105.297,105.308,ns,,,,,
"benchmark_c_unrolled_8/512",3450897,206.081,206.109,ns,,,,,
"benchmark_c_unrolled_8/1024",1781811,388.344,388.407,ns,,,,,
"benchmark_c_unrolled_8/2048",915545,768.385,768.506,ns,,,,,
"benchmark_c_unrolled_8/4096",460383,1542.65,1542.83,ns,,,,,
"benchmark_c_unrolled_8/8192",227753,3087.59,3087.69,ns,,,,,
"benchmark_c_unrolled_8/16384",114114,6161.16,6161.95,ns,,,,,
"benchmark_c_unrolled_8/32768",57169,12251.7,12253,ns,,,,,
"benchmark_c_unrolled_8/65536",28264,24485.4,24488.7,ns,,,,,
"benchmark_c_unrolled_8/131072",14269,48472.3,48479,ns,,,,,
"benchmark_c_unrolled_8/262144",7248,96831.5,96842.5,ns,,,,,
"benchmark_c_unrolled_8/524288",3400,205539,205208,ns,,,,,
"benchmark_c_unrolled_8/1048576",1595,432310,432340,ns,,,,,
"benchmark_c_unrolled_8/2097152",824,861205,861231,ns,,,,,
"benchmark_c_unrolled_8/4194304",407,1.7458e+06,1.74596e+06,ns,,,,,
"benchmark_c_unrolled_8/8388608",205,3.40356e+06,3.40369e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",103,6.83859e+06,6.83927e+06,ns,,,,,
"benchmark_cpp/4",191104816,3.60439,3.60489,ns,,,,,
"benchmark_cpp/16",83055869,8.55093,8.55223,ns,,,,,
"benchmark_cpp/256",6140319,115.336,115.354,ns,,,,,
"benchmark_cpp/512",3191511,220.274,220.308,ns,,,,,
"benchmark_cpp/1024",1641204,432.287,432.344,ns,,,,,
"benchmark_cpp/2048",834363,860.792,860.877,ns,,,,,
"benchmark_cpp/4096",415232,1683.73,1683.95,ns,,,,,
"benchmark_cpp/8192",207376,3371.69,3372.21,ns,,,,,
"benchmark_cpp/16384",105176,6718.79,6719.65,ns,,,,,
"benchmark_cpp/32768",51940,13379.7,13381.6,ns,,,,,
"benchmark_cpp/65536",26097,26765.5,26769.1,ns,,,,,
"benchmark_cpp/131072",12988,53427.8,53435.4,ns,,,,,
"benchmark_cpp/262144",6575,106608,106622,ns,,,,,
"benchmark_cpp/524288",3197,220927,220955,ns,,,,,
"benchmark_cpp/1048576",1492,468772,468806,ns,,,,,
"benchmark_cpp/2097152",746,939376,939439,ns,,,,,
"benchmark_cpp/4194304",371,1.86721e+06,1.86743e+06,ns,,,,,
"benchmark_cpp/8388608",188,3.73276e+06,3.73315e+06,ns,,,,,
"benchmark_cpp/16777216",93,7.49104e+06,7.49186e+06,ns,,,,,
"benchmark_sse2/4",215577407,3.31357,3.31406,ns,,,,,
"benchmark_sse2/16",134784679,5.24345,5.24423,ns,,,,,
"benchmark_sse2/256",13472553,52.3177,52.3247,ns,,,,,
"benchmark_sse2/512",7176050,94.3495,94.3622,ns,,,,,
"benchmark_sse2/1024",3918638,178.191,178.209,ns,,,,,
"benchmark_sse2/2048",2039147,346.025,346.062,ns,,,,,
"benchmark_sse2/4096",1035432,680.251,680.345,ns,,,,,
"benchmark_sse2/8192",520570,1353.6,1353.8,ns,,,,,
"benchmark_sse2/16384",223906,3117.8,3118.24,ns,,,,,
"benchmark_sse2/32768",112918,6321.89,6322.56,ns,,,,,
"benchmark_sse2/65536",54425,12713.8,12715.6,ns,,,,,
"benchmark_sse2/131072",27026,26019.6,26019.5,ns,,,,,
"benchmark_sse2/262144",13469,51998,52004.6,ns,,,,,
"benchmark_sse2/524288",6000,116738,116747,ns,,,,,
"benchmark_sse2/1048576",2541,276698,276725,ns,,,,,
"benchmark_sse2/2097152",1196,580451,580527,ns,,,,,
"benchmark_sse2/4194304",592,1.18522e+06,1.18526e+06,ns,,,,,
"benchmark_sse2/8388608",292,2.38069e+06,2.38091e+06,ns,,,,,
"benchmark_sse2/16777216",146,4.77417e+06,4.77453e+06,ns,,,,,
