name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",104724880,5.2499,5.25053,ns,,,,,
"benchmark_c/16",53890037,13.1686,13.1697,ns,,,,,
"benchmark_c/256",3965014,177.803,177.823,ns,,,,,
"benchmark_c/512",2042021,344.647,344.641,ns,,,,,
"benchmark_c/1024",1034912,685.27,685.351,ns,,,,,
"benchmark_c/2048",515446,1347.39,1347.54,ns,,,,,
"benchmark_c/4096",259116,2677.55,2677.85,ns,,,,,
"benchmark_c/8192",131427,5410.34,5410.97,ns,,,,,
"benchmark_c/16384",65734,10772.6,10773.7,ns,,,,,
"benchmark_c/32768",32677,21668.1,21668.4,ns,,,,,
"benchmark_c/65536",16359,43022.3,43023.2,ns,,,,,
"benchmark_c/131072",8234,85350.8,85356.9,ns,,,,,
"benchmark_c/262144",4100,173032,173052,ns,,,,,
"benchmark_c/524288",2032,345319,345359,ns,,,,,
"benchmark_c/1048576",976,717150,717212,ns,,,,,
"benchmark_c/2097152",472,1.48509e+06,1.48512e+06,ns,,,,,
"benchmark_c/4194304",236,2.95525e+06,2.95528e+06,ns,,,,,
"benchmark_c/8388608",121,6.35309e+06,6.35354e+06,ns,,,,,
"benchmark_c/16777216",61,1.15587e+07,1.15593e+07,ns,,,,,
"benchmark_c_unrolled_8/4",119878536,5.85185,5.85247,ns,,,,,
"benchmark_c_unrolled_8/16",98091588,7.19206,7.19302,ns,,,,,
"benchmark_c_unrolled_8/256",7389717,96.6379,96.6477,ns,,,,,
"benchmark_c_unrolled_8/512",3465158,200.458,200.485,ns,,,,,
"benchmark_c_unrolled_8/1024",1807714,388.803,388.847,ns,,,,,
"benchmark_c_unrolled_8/2048",923444,762.082,762.164,ns,,,,,
"benchmark_c_unrolled_8/4096",465236,1516.12,1516.26,ns,,,,,
"benchmark_c_unrolled_8/8192",232097,3033.62,3033.94,ns,,,,,
"benchmark_c_unrolled_8/16384",116369,6028.55,6029.19,ns,,,,,
"benchmark_c_unrolled_8/32768",56438,12051.1,12052.1,ns,,,,,
"benchmark_c_unrolled_8/65536",28921,24236.3,24239,ns,,,,,
"benchmark_c_unrolled_8/131072",14465,48406.8,48412.5,ns,,,,,
"benchmark_c_unrolled_8/262144",7228,96274.6,96284,ns,,,,,
"benchmark_c_unrolled_8/524288",3560,196301,196325,ns,,,,,
"benchmark_c_unrolled_8/1048576",1640,425512,425569,ns,,,,,
"benchmark_c_unrolled_8/2097152",815,859476,859541,ns,,,,,
"benchmark_c_unrolled_8/4194304",388,1.70734e+06,1.70746e+06,ns,,,,,
"benchmark_c_unrolled_8/8388608",204,3.42896e+06,3.42857e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",102,6.83589e+06,6.8368e+06,ns,,,,,
"benchmark_cpp/4",163055372,4.27815,4.2786,ns,,,,,
"benchmark_cpp/16",83144866,8.23692,8.23787,ns,,,,,
"benchmark_cpp/256",6197554,114.374,114.383,ns,,,,,
"benchmark_cpp/512",3226034,219.633,219.654,ns,,,,,
"benchmark_cpp/1024",1618632,430.276,430.322,ns,,,,,
"benchmark_cpp/2048",833286,852.405,852.484,ns,,,,,
"benchmark_cpp/4096",416637,1688.41,1688.39,ns,,,,,
"benchmark_cpp/8192",207308,3410.14,3410.51,ns,,,,,
"benchmark_cpp/16384",105042,6724.77,6725.18,ns,,,,,
"benchmark_cpp/32768",52118,13512.4,13513.9,ns,,,,,
"benchmark_cpp/65536",25499,26815.7,26817.7,ns,,,,,
"benchmark_cpp/131072",13184,53765.1,53771.1,ns,,,,,
"benchmark_cpp/262144",6525,106997,107011,ns,,,,,
"benchmark_cpp/524288",3229,216653,216670,ns,,,,,
"benchmark_cpp/1048576",1508,463395,463455,ns,,,,,
"benchmark_cpp/2097152",739,941813,941896,ns,,,,,
"benchmark_cpp/4194304",372,1.86977e+06,1.86993e+06,ns,,,,,
"benchmark_cpp/8388608",187,3.75406e+06,3.75435e+06,ns,,,,,
"benchmark_cpp/16777216",94,7.57365e+06,7.5738e+06,ns,,,,,
"benchmark_sse2/4",295926657,2.29201,2.29212,ns,,,,,
"benchmark_sse2/16",96195646,7.24607,7.24668,ns,,,,,
"benchmark_sse2/256",9258674,73.5667,73.5695,ns,,,,,
"benchmark_sse2/512",5886541,120.413,120.425,ns,,,,,
"benchmark_sse2/1024",3128517,219.653,219.67,ns,,,,,
"benchmark_sse2/2048",1722727,409.932,409.938,ns,,,,,
"benchmark_sse2/4096",864172,782.721,782.805,ns,,,,,
"benchmark_sse2/8192",455557,1544.93,1545.09,ns,,,,,
"benchmark_sse2/16384",202919,3409.14,3409.56,ns,,,,,
"benchmark_sse2/32768",103158,6797.69,6798.32,ns,,,,,
"benchmark_sse2/65536",50844,13967.8,13969.1,ns,,,,,
"benchmark_sse2/131072",24786,28283.2,28283.7,ns,,,,,
"benchmark_sse2/262144",12436,56623.5,56629.2,ns,,,,,
"benchmark_sse2/524288",5867,118124,118133,ns,,,,,
"benchmark_sse2/1048576",2423,289852,289862,ns,,,,,
"benchmark_sse2/2097152",1149,608618,608680,ns,,,,,
"benchmark_sse2/4194304",565,1.2401e+06,1.24014e+06,ns,,,,,
"benchmark_sse2/8388608",281,2.48437e+06,2.48459e+06,ns,,,,,
"benchmark_sse2/16777216",141,4.98672e+06,4.98673e+06,ns,,,,,
