name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",161401682,4.28913,4.28932,ns,,,,,
"benchmark_c/16",57915276,12.0323,12.0333,ns,,,,,
"benchmark_c/256",3988533,177.358,177.373,ns,,,,,
"benchmark_c/512",2035930,344.078,344.105,ns,,,,,
"benchmark_c/1024",1037080,680.247,680.299,ns,,,,,
"benchmark_c/2048",522062,1346.22,1346.35,ns,,,,,
"benchmark_c/4096",259882,2691.05,2691.37,ns,,,,,
"benchmark_c/8192",131149,5351.19,5351.5,ns,,,,,
"benchmark_c/16384",65746,10769,10769.8,ns,,,,,
"benchmark_c/32768",32854,21331.1,21331.2,ns,,,,,
"benchmark_c/65536",16430,42638.7,42638.9,ns,,,,,
"benchmark_c/131072",8225,85591.4,85593.7,ns,,,,,
"benchmark_c/262144",4045,171441,171444,ns,,,,,
"benchmark_c/524288",2026,347178,347195,ns,,,,,
"benchmark_c/1048576",958,722662,722649,ns,,,,,
"benchmark_c/2097152",465,1.48362e+06,1.48375e+06,ns,,,,,
"benchmark_c/4194304",237,2.95418e+06,2.95445e+06,ns,,,,,
"benchmark_c/8388608",121,5.78929e+06,5.78996e+06,ns,,,,,
"benchmark_c/16777216",61,1.15554e+07,1.15562e+07,ns,,,,,
"benchmark_c_unrolled_8/4",135063390,5.19363,5.19418,ns,,,,,
"benchmark_c_unrolled_8/16",98019803,7.08345,7.08396,ns,,,,,
"benchmark_c_unrolled_8/256",6667436,105.195,105.2,ns,,,,,
"benchmark_c_unrolled_8/512",3475821,198.828,198.846,ns,,,,,
"benchmark_c_unrolled_8/1024",1815985,386.113,386.149,ns,,,,,
"benchmark_c_unrolled_8/2048",922792,759.691,759.771,ns,,,,,
"benchmark_c_unrolled_8/4096",464712,1512.59,1512.65,ns,,,,,
"benchmark_c_unrolled_8/8192",232661,3014.81,3015.16,ns,,,,,
"benchmark_c_unrolled_8/16384",116540,6016.71,6017.17,ns,,,,,
"benchmark_c_unrolled_8/32768",58317,12006.8,12008,ns,,,,,
"benchmark_c_unrolled_8/65536",29243,24042.7,24044.6,ns,,,,,
"benchmark_c_unrolled_8/131072",14625,47989.6,47994.2,ns,,,,,
"benchmark_c_unrolled_8/262144",7246,96027.6,96032.8,ns,,,,,
"benchmark_c_unrolled_8/524288",3571,194998,195015,ns,,,,,
"benchmark_c_unrolled_8/1048576",1660,421208,421207,ns,,,,,
"benchmark_c_unrolled_8/2097152",820,849980,850029,ns,,,,,
"benchmark_c_unrolled_8/4194304",412,1.70721e+06,1.70711e+06,ns,,,,,
"benchmark_c_unrolled_8/8388608",205,3.40072e+06,3.4009e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",103,6.82283e+06,6.82292e+06,ns,,,,,
"benchmark_cpp/4",113535295,6.18383,6.18439,ns,,,,,
"benchmark_cpp/16",77141273,9.09042,9.09126,ns,,,,,
"benchmark_cpp/256",10492217,66.8141,66.8188,ns,,,,,
"benchmark_cpp/512",6386506,109.312,109.323,ns,,,,,
"benchmark_cpp/1024",3568782,195.81,195.825,ns,,,,,
"benchmark_cpp/2048",1948711,360.644,360.679,ns,,,,,
"benchmark_cpp/4096",1010655,691.935,691.976,ns,,,,,
"benchmark_cpp/8192",514588,1363.32,1363.47,ns,,,,,
"benchmark_cpp/16384",223907,3130.27,3130.55,ns,,,,,
"benchmark_cpp/32768",111022,6288.01,6288.44,ns,,,,,
"benchmark_cpp/65536",55087,12721.6,12722.5,ns,,,,,
"benchmark_cpp/131072",26962,26013.2,26015.2,ns,,,,,
"benchmark_cpp/262144",13499,52179.1,52182,ns,,,,,
"benchmark_cpp/524288",6300,111164,111167,ns,,,,,
"benchmark_cpp/1048576",2481,279762,279779,ns,,,,,
"benchmark_cpp/2097152",1175,590804,590795,ns,,,,,
"benchmark_cpp/4194304",578,1.21342e+06,1.21336e+06,ns,,,,,
"benchmark_cpp/8388608",289,2.43517e+06,2.43514e+06,ns,,,,,
"benchmark_cpp/16777216",144,4.8735e+06,4.87364e+06,ns,,,,,
"benchmark_sse2/4",195359765,3.60531,3.60552,ns,,,,,
"benchmark_sse2/16",104388072,6.6858,6.68644,ns,,,,,
"benchmark_sse2/256",10368440,68.9842,68.9897,ns,,,,,
"benchmark_sse2/512",5932512,118.246,118.255,ns,,,,,
"benchmark_sse2/1024",3209850,212.796,212.818,ns,,,,,
"benchmark_sse2/2048",1744765,401.207,401.247,ns,,,,,
"benchmark_sse2/4096",906717,778.069,778.143,ns,,,,,
"benchmark_sse2/8192",469436,1502.29,1502.31,ns,,,,,
"benchmark_sse2/16384",205471,3414.95,3415.2,ns,,,,,
"benchmark_sse2/32768",103180,6821.68,6821.88,ns,,,,,
"benchmark_sse2/65536",50774,13804.2,13805.2,ns,,,,,
"benchmark_sse2/131072",24953,28500.9,28502.5,ns,,,,,
"benchmark_sse2/262144",12456,56765.4,56769.9,ns,,,,,
"benchmark_sse2/524288",5386,119450,119457,ns,,,,,
"benchmark_sse2/1048576",2414,290821,290833,ns,,,,,
"benchmark_sse2/2097152",1146,609535,609585,ns,,,,,
"benchmark_sse2/4194304",569,1.2357e+06,1.23573e+06,ns,,,,,
"benchmark_sse2/8388608",283,2.71808e+06,2.71809e+06,ns,,,,,
"benchmark_sse2/16777216",140,4.96108e+06,4.96097e+06,ns,,,,,
