name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",151733149,4.55591,4.5561,ns,,,,,
"benchmark_c/16",56650164,12.3486,12.3497,ns,,,,,
"benchmark_c/256",3993441,175.672,175.686,ns,,,,,
"benchmark_c/512",2030758,342.137,342.162,ns,,,,,
"benchmark_c/1024",1038940,675.5,675.563,ns,,,,,
"benchmark_c/2048",522689,1340.17,1340.27,ns,,,,,
"benchmark_c/4096",262203,2672.18,2672.43,ns,,,,,
"benchmark_c/8192",131470,5332.88,5333.1,ns,,,,,
"benchmark_c/16384",65475,10654.9,10655.9,ns,,,,,
"benchmark_c/32768",32771,21292.8,21294.2,ns,,,,,
"benchmark_c/65536",16386,42594.2,42597.6,ns,,,,,
"benchmark_c/131072",8231,85158.1,85161.1,ns,,,,,
"benchmark_c/262144",4112,170714,170728,ns,,,,,
"benchmark_c/524288",2042,343132,343151,ns,,,,,
"benchmark_c/1048576",978,718879,718854,ns,,,,,
"benchmark_c/2097152",474,1.4834e+06,1.48347e+06,ns,,,,,
"benchmark_c/4194304",238,2.95385e+06,2.95388e+06,ns,,,,,
"benchmark_c/8388608",121,5.77335e+06,5.77385e+06,ns,,,,,
"benchmark_c/16777216",61,1.15401e+07,1.15407e+07,ns,,,,,
"benchmark_c_unrolled_8/4",132622434,5.19086,5.19122,ns,,,,,
"benchmark_c_unrolled_8/16",98159619,7.16844,7.16873,ns,,,,,
"benchmark_c_unrolled_8/256",6863805,102.557,102.567,ns,,,,,
"benchmark_c_unrolled_8/512",3560407,195.435,195.452,ns,,,,,
"benchmark_c_unrolled_8/1024",1830758,382.567,382.595,ns,,,,,
"benchmark_c_unrolled_8/2048",927881,756.334,756.395,ns,,,,,
"benchmark_c_unrolled_8/4096",466019,1506.56,1506.7,ns,,,,,
"benchmark_c_unrolled_8/8192",232953,3003.82,3004.1,ns,,,,,
"benchmark_c_unrolled_8/16384",116875,6087.02,6087.28,ns,,,,,
"benchmark_c_unrolled_8/32768",58396,12017.1,12018.1,ns,,,,,
"benchmark_c_unrolled_8/65536",29253,23970.3,23971.5,ns,,,,,
"benchmark_c_unrolled_8/131072",14608,47876.2,47879.8,ns,,,,,
"benchmark_c_unrolled_8/262144",7313,95758,95763.5,ns,,,,,
"benchmark_c_unrolled_8/524288",3594,194535,194546,ns,,,,,
"benchmark_c_unrolled_8/1048576",1649,424567,424540,ns,,,,,
"benchmark_c_unrolled_8/2097152",817,848672,848705,ns,,,,,
"benchmark_c_unrolled_8/4194304",410,1.6966e+06,1.69661e+06,ns,,,,,
"benchmark_c_unrolled_8/8388608",206,3.38926e+06,3.38933e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",103,6.81281e+06,6.81207e+06,ns,,,,,
"benchmark_cpp/4",195901346,3.56807,3.56834,ns,,,,,
"benchmark_cpp/16",85531868,8.11043,8.11101,ns,,,,,
"benchmark_cpp/256",6060207,115.076,115.084,ns,,,,,
"benchmark_cpp/512",3196393,219.168,219.186,ns,,,,,
"benchmark_cpp/1024",1640146,428.937,428.961,ns,,,,,
"benchmark_cpp/2048",827297,844.45,844.521,ns,,,,,
"benchmark_cpp/4096",417132,1674.79,1674.9,ns,,,,,
"benchmark_cpp/8192",209694,3342.76,3343,ns,,,,,
"benchmark_cpp/16384",104412,6664.22,6664.62,ns,,,,,
"benchmark_cpp/32768",52475,13326.4,13327.5,ns,,,,,
"benchmark_cpp/65536",26298,27126.1,27127.4,ns,,,,,
"benchmark_cpp/131072",13158,53231.9,53235.5,ns,,,,,
"benchmark_cpp/262144",6589,108458,108466,ns,,,,,
"benchmark_cpp/524288",3240,215941,215956,ns,,,,,
"benchmark_cpp/1048576",1507,473330,473345,ns,,,,,
"benchmark_cpp/2097152",746,938541,938559,ns,,,,,
"benchmark_cpp/4194304",371,1.90562e+06,1.90571e+06,ns,,,,,
"benchmark_cpp/8388608",188,3.72872e+06,3.72873e+06,ns,,,,,
"benchmark_cpp/16777216",94,7.5848e+06,7.58498e+06,ns,,,,,
"benchmark_sse2/4",239621483,2.92267,2.92288,ns,,,,,
"benchmark_sse2/16",119790296,5.88541,5.88585,ns,,,,,
"benchmark_sse2/256",11188625,62.7204,62.7238,ns,,,,,
"benchmark_sse2/512",6631718,104.206,104.214,ns,,,,,
"benchmark_sse2/1024",3738212,187.493,187.507,ns,,,,,
"benchmark_sse2/2048",1980165,353.299,353.325,ns,,,,,
"benchmark_sse2/4096",1020830,686.386,686.423,ns,,,,,
"benchmark_sse2/8192",517550,1354.98,1355.09,ns,,,,,
"benchmark_sse2/16384",224150,3126.21,3126.28,ns,,,,,
"benchmark_sse2/32768",112418,6254.13,6254.56,ns,,,,,
"benchmark_sse2/65536",55070,12644.1,12645,ns,,,,,
"benchmark_sse2/131072",26862,25969.3,25971,ns,,,,,
"benchmark_sse2/262144",13473,52501.5,52503.9,ns,,,,,
"benchmark_sse2/524288",6330,110838,110845,ns,,,,,
"benchmark_sse2/1048576",2528,276149,276162,ns,,,,,
"benchmark_sse2/2097152",1199,579706,579730,ns,,,,,
"benchmark_sse2/4194304",594,1.18046e+06,1.18049e+06,ns,,,,,
"benchmark_sse2/8388608",295,2.37439e+06,2.37447e+06,ns,,,,,
"benchmark_sse2/16777216",147,4.74681e+06,4.7465e+06,ns,,,,,
