name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",39078107,17.622,17.6229,ns,,,,,
"benchmark_c/16",31079407,22.244,22.2459,ns,,,,,
"benchmark_c/256",6906985,101.117,101.124,ns,,,,,
"benchmark_c/512",3805919,184.88,184.888,ns,,,,,
"benchmark_c/1024",1983110,352.948,352.975,ns,,,,,
"benchmark_c/2048",970628,686.06,686.094,ns,,,,,
"benchmark_c/4096",518564,1369.53,1369.63,ns,,,,,
"benchmark_c/8192",261687,2700.03,2700.19,ns,,,,,
"benchmark_c/16384",131544,5338.83,5339.18,ns,,,,,
"benchmark_c/32768",65763,10676.3,10677,ns,,,,,
"benchmark_c/65536",33124,21466.4,21468,ns,,,,,
"benchmark_c/131072",16339,43146.4,43143.4,ns,,,,,
"benchmark_c/262144",8359,85291.4,85297.8,ns,,,,,
"benchmark_c/524288",4128,170290,170301,ns,,,,,
"benchmark_c/1048576",1983,346930,346928,ns,,,,,
"benchmark_c/2097152",906,752574,752621,ns,,,,,
"benchmark_c/4194304",468,1.49556e+06,1.4955e+06,ns,,,,,
"benchmark_c/8388608",248,2.9127e+06,2.91276e+06,ns,,,,,
"benchmark_c/16777216",135,6.05361e+06,6.05351e+06,ns,,,,,
"benchmark_c_unrolled_8/4",38946317,17.9522,17.9532,ns,,,,,
"benchmark_c_unrolled_8/16",32359768,21.7631,21.7642,ns,,,,,
"benchmark_c_unrolled_8/256",10357719,67.3783,67.3838,ns,,,,,
"benchmark_c_unrolled_8/512",5992425,115.685,115.689,ns,,,,,
"benchmark_c_unrolled_8/1024",3290705,209.809,209.825,ns,,,,,
"benchmark_c_unrolled_8/2048",1759081,396.708,396.725,ns,,,,,
"benchmark_c_unrolled_8/4096",911226,778.154,778.21,ns,,,,,
"benchmark_c_unrolled_8/8192",450780,1534.54,1534.65,ns,,,,,
"benchmark_c_unrolled_8/16384",232253,3049.25,3049.48,ns,,,,,
"benchmark_c_unrolled_8/32768",116940,6101.24,6101.61,ns,,,,,
"benchmark_c_unrolled_8/65536",58963,12142.7,12143.4,ns,,,,,
"benchmark_c_unrolled_8/131072",29013,24018.6,24019.9,ns,,,,,
"benchmark_c_unrolled_8/262144",14680,48350.1,48352,ns,,,,,
"benchmark_c_unrolled_8/524288",7288,97048.2,97055.6,ns,,,,,
"benchmark_c_unrolled_8/1048576",3383,202691,202691,ns,,,,,
"benchmark_c_unrolled_8/2097152",1559,440038,440065,ns,,,,,
"benchmark_c_unrolled_8/4194304",814,846915,846886,ns,,,,,
"benchmark_c_unrolled_8/8388608",426,1.71573e+06,1.71589e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",200,3.54056e+06,3.54045e+06,ns,,,,,
"benchmark_cpp/4",39392530,18.0277,18.0283,ns,,,,,
"benchmark_cpp/16",32713643,21.2407,21.2416,ns,,,,,
"benchmark_cpp/256",9372995,70.8051,70.8105,ns,,,,,
"benchmark_cpp/512",5736735,123.834,123.84,ns,,,,,
"benchmark_cpp/1024",3088325,229.749,229.764,ns,,,,,
"benchmark_cpp/2048",1605498,437.486,437.509,ns,,,,,
"benchmark_cpp/4096",811290,860.061,860.127,ns,,,,,
"benchmark_cpp/8192",413076,1706.75,1702.39,ns,,,,,
"benchmark_cpp/16384",207820,3357.39,3344.84,ns,,,,,
"benchmark_cpp/32768",104100,6721.09,6721.53,ns,,,,,
"benchmark_cpp/65536",52841,13351.2,13351.9,ns,,,,,
"benchmark_cpp/131072",26351,26564.1,26566.6,ns,,,,,
"benchmark_cpp/262144",13337,53244.5,53249.5,ns,,,,,
"benchmark_cpp/524288",6697,107088,107097,ns,,,,,
"benchmark_cpp/1048576",3117,222350,222335,ns,,,,,
"benchmark_cpp/2097152",1434,480586,480599,ns,,,,,
"benchmark_cpp/4194304",741,1.01539e+06,1.01539e+06,ns,,,,,
"benchmark_cpp/8388608",391,1.82193e+06,1.82197e+06,ns,,,,,
"benchmark_cpp/16777216",183,3.80488e+06,3.80448e+06,ns,,,,,
"benchmark_sse2/4",51750799,13.5319,13.518,ns,,,,,
"benchmark_sse2/16",35234718,19.9055,19.883,ns,,,,,
"benchmark_sse2/256",14896952,47.1198,47.0676,ns,,,,,
"benchmark_sse2/512",10104605,69.5582,69.4803,ns,,,,,
"benchmark_sse2/1024",6273962,111.81,111.689,ns,,,,,
"benchmark_sse2/2048",3577524,195.91,195.694,ns,,,,,
"benchmark_sse2/4096",1930921,363.674,363.282,ns,,,,,
"benchmark_sse2/8192",1008210,695.451,694.664,ns,,,,,
"benchmark_sse2/16384",464924,1517.85,1516.23,ns,,,,,
"benchmark_sse2/32768",226193,3100.94,3097.68,ns,,,,,
"benchmark_sse2/65536",112865,6279.02,6272.3,ns,,,,,
"benchmark_sse2/131072",54674,12883.3,12870,ns,,,,,
"benchmark_sse2/262144",26998,26192.6,26165.1,ns,,,,,
"benchmark_sse2/524288",13279,54088.4,54032,ns,,,,,
"benchmark_sse2/1048576",5393,126426,126294,ns,,,,,
"benchmark_sse2/2097152",2361,293957,293647,ns,,,,,
"benchmark_sse2/4194304",1185,575867,575252,ns,,,,,
"benchmark_sse2/8388608",618,1.17206e+06,1.17084e+06,ns,,,,,
"benchmark_sse2/16777216",287,2.40894e+06,2.40648e+06,ns,,,,,
