name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",31983670,22.1043,22.1042,ns,,,,,
"benchmark_c/16",26551595,26.5407,26.5403,ns,,,,,
"benchmark_c/256",6608048,105.815,105.81,ns,,,,,
"benchmark_c/512",3694661,189.819,189.813,ns,,,,,
"benchmark_c/1024",1949805,359.469,359.467,ns,,,,,
"benchmark_c/2048",1004949,696.189,696.16,ns,,,,,
"benchmark_c/4096",507301,1372.33,1372.3,ns,,,,,
"benchmark_c/8192",257353,2724.99,2724.87,ns,,,,,
"benchmark_c/16384",125701,5377.53,5377.36,ns,,,,,
"benchmark_c/32768",65599,10912.3,10912.3,ns,,,,,
"benchmark_c/65536",33088,21648.1,21647.4,ns,,,,,
"benchmark_c/131072",16375,43273.5,43272.9,ns,,,,,
"benchmark_c/262144",8242,86364.5,86361.5,ns,,,,,
"benchmark_c/524288",4167,172440,172438,ns,,,,,
"benchmark_c/1048576",1981,355778,355764,ns,,,,,
"benchmark_c/2097152",899,761775,761736,ns,,,,,
"benchmark_c/4194304",472,1.50228e+06,1.50197e+06,ns,,,,,
"benchmark_c/8388608",249,2.91387e+06,2.91375e+06,ns,,,,,
"benchmark_c/16777216",134,6.13206e+06,6.13173e+06,ns,,,,,
"benchmark_c_unrolled_8/4",30153341,23.3783,23.3771,ns,,,,,
"benchmark_c_unrolled_8/16",27649882,25.4712,25.4692,ns,,,,,
"benchmark_c_unrolled_8/256",9049243,71.9452,71.944,ns,,,,,
"benchmark_c_unrolled_8/512",5641990,120.077,120.076,ns,,,,,
"benchmark_c_unrolled_8/1024",3283830,216.276,216.267,ns,,,,,
"benchmark_c_unrolled_8/2048",1736897,410.178,410.171,ns,,,,,
"benchmark_c_unrolled_8/4096",892015,790.234,790.228,ns,,,,,
"benchmark_c_unrolled_8/8192",454439,1559.11,1559.11,ns,,,,,
"benchmark_c_unrolled_8/16384",229585,3064.24,3064.25,ns,,,,,
"benchmark_c_unrolled_8/32768",116627,6100.65,6100.37,ns,,,,,
"benchmark_c_unrolled_8/65536",57135,12188.1,12187.4,ns,,,,,
"benchmark_c_unrolled_8/131072",28708,24301.3,24300.8,ns,,,,,
"benchmark_c_unrolled_8/262144",14385,48793.7,48793,ns,,,,,
"benchmark_c_unrolled_8/524288",7228,96770.5,96763.6,ns,,,,,
"benchmark_c_unrolled_8/1048576",3375,204523,204490,ns,,,,,
"benchmark_c_unrolled_8/2097152",1521,445463,445420,ns,,,,,
"benchmark_c_unrolled_8/4194304",792,861866,861788,ns,,,,,
"benchmark_c_unrolled_8/8388608",419,1.71305e+06,1.71283e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",196,3.57549e+06,3.57523e+06,ns,,,,,
"benchmark_cpp/4",31108162,22.4242,22.4237,ns,,,,,
"benchmark_cpp/16",27013979,26.1935,26.193,ns,,,,,
"benchmark_cpp/256",9359782,76.4256,76.4228,ns,,,,,
"benchmark_cpp/512",5348135,128.095,128.091,ns,,,,,
"benchmark_cpp/1024",2993343,235.071,235.064,ns,,,,,
"benchmark_cpp/2048",1570742,446.984,446.971,ns,,,,,
"benchmark_cpp/4096",794414,881.903,881.854,ns,,,,,
"benchmark_cpp/8192",404955,1709.6,1709.55,ns,,,,,
"benchmark_cpp/16384",206748,3399.02,3398.91,ns,,,,,
"benchmark_cpp/32768",103401,6780.26,6780.15,ns,,,,,
"benchmark_cpp/65536",51737,13584.7,13583.7,ns,,,,,
"benchmark_cpp/131072",26151,27332.7,27331.9,ns,,,,,
"benchmark_cpp/262144",13136,54303.6,54300.3,ns,,,,,
"benchmark_cpp/524288",6604,107607,107597,ns,,,,,
"benchmark_cpp/1048576",3085,223973,223952,ns,,,,,
"benchmark_cpp/2097152",1391,484697,484677,ns,,,,,
"benchmark_cpp/4194304",738,938935,938863,ns,,,,,
"benchmark_cpp/8388608",390,1.83884e+06,1.83872e+06,ns,,,,,
"benchmark_cpp/16777216",178,3.81488e+06,3.81458e+06,ns,,,,,
"benchmark_sse2/4",41541240,16.7318,16.7311,ns,,,,,
"benchmark_sse2/16",28731685,24.4479,24.4467,ns,,,,,
"benchmark_sse2/256",13423138,52.6539,52.6523,ns,,,,,
"benchmark_sse2/512",9070680,76.2408,76.2396,ns,,,,,
"benchmark_sse2/1024",5624100,122.713,122.708,ns,,,,,
"benchmark_sse2/2048",3195394,214.515,214.509,ns,,,,,
"benchmark_sse2/4096",1743515,389.768,389.733,ns,,,,,
"benchmark_sse2/8192",900247,756.641,756.608,ns,,,,,
"benchmark_sse2/16384",418211,1675.05,1675.01,ns,,,,,
"benchmark_sse2/32768",204247,3445,3444.8,ns,,,,,
"benchmark_sse2/65536",102282,7009.99,7009.47,ns,,,,,
"benchmark_sse2/131072",49477,14334.4,14333.9,ns,,,,,
"benchmark_sse2/262144",24901,28725.8,28725.9,ns,,,,,
"benchmark_sse2/524288",12528,58257,58253.5,ns,,,,,
"benchmark_sse2/1048576",5033,135409,135402,ns,,,,,
"benchmark_sse2/2097152",2209,311015,310969,ns,,,,,
"benchmark_sse2/4194304",1134,610730,610664,ns,,,,,
"benchmark_sse2/8388608",557,1.25618e+06,1.25603e+06,ns,,,,,
"benchmark_sse2/16777216",268,2.5424e+06,2.54225e+06,ns,,,,,
