name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",19687467,35.5629,35.5381,ns,,,,,
"benchmark_c/16",17132338,40.8983,40.865,ns,,,,,
"benchmark_c/256",5876999,119.086,119.006,ns,,,,,
"benchmark_c/512",3479272,201.58,201.45,ns,,,,,
"benchmark_c/1024",1889096,369.893,369.681,ns,,,,,
"benchmark_c/2048",992461,706.589,706.142,ns,,,,,
"benchmark_c/4096",511564,1373.35,1372.46,ns,,,,,
"benchmark_c/8192",258838,2720.8,2719.24,ns,,,,,
"benchmark_c/16384",129571,5370.4,5367.37,ns,,,,,
"benchmark_c/32768",65725,10744.5,10738.2,ns,,,,,
"benchmark_c/65536",33014,21588.1,21575.7,ns,,,,,
"benchmark_c/131072",16353,42923.7,42898.6,ns,,,,,
"benchmark_c/262144",8372,86048.2,85999,ns,,,,,
"benchmark_c/524288",4192,170812,170707,ns,,,,,
"benchmark_c/1048576",1998,347122,346895,ns,,,,,
"benchmark_c/2097152",914,750398,749970,ns,,,,,
"benchmark_c/4194304",471,1.49559e+06,1.49474e+06,ns,,,,,
"benchmark_c/8388608",250,2.89641e+06,2.89474e+06,ns,,,,,
"benchmark_c/16777216",134,6.03521e+06,6.03174e+06,ns,,,,,
"benchmark_c_unrolled_8/4",19974759,35.0785,35.0603,ns,,,,,
"benchmark_c_unrolled_8/16",17738807,39.5286,39.505,ns,,,,,
"benchmark_c_unrolled_8/256",8318118,84.5636,84.5202,ns,,,,,
"benchmark_c_unrolled_8/512",5346771,131.179,131.112,ns,,,,,
"benchmark_c_unrolled_8/1024",3105871,224.193,224.081,ns,,,,,
"benchmark_c_unrolled_8/2048",1697984,410.941,410.731,ns,,,,,
"benchmark_c_unrolled_8/4096",880383,794.71,794.291,ns,,,,,
"benchmark_c_unrolled_8/8192",457227,1535.15,1534.39,ns,,,,,
"benchmark_c_unrolled_8/16384",232258,3031,3029.54,ns,,,,,
"benchmark_c_unrolled_8/32768",112953,6032.65,6029.68,ns,,,,,
"benchmark_c_unrolled_8/65536",58672,12062,12055.8,ns,,,,,
"benchmark_c_unrolled_8/131072",29271,24053.3,24040.9,ns,,,,,
"benchmark_c_unrolled_8/262144",14686,52722.6,52696.7,ns,,,,,
"benchmark_c_unrolled_8/524288",7414,97136.3,97088,ns,,,,,
"benchmark_c_unrolled_8/1048576",3431,202194,202077,ns,,,,,
"benchmark_c_unrolled_8/2097152",1572,439175,438945,ns,,,,,
"benchmark_c_unrolled_8/4194304",813,850402,849948,ns,,,,,
"benchmark_c_unrolled_8/8388608",422,1.69227e+06,1.69129e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",199,3.54313e+06,3.54134e+06,ns,,,,,
"benchmark_cpp/4",22411810,31.3614,31.3472,ns,,,,,
"benchmark_cpp/16",18230048,38.3544,38.3374,ns,,,,,
"benchmark_cpp/256",11598260,60.6542,60.6273,ns,,,,,
"benchmark_cpp/512",8518753,81.9707,81.932,ns,,,,,
"benchmark_cpp/1024",5629051,124.934,124.862,ns,,,,,
"benchmark_cpp/2048",3359851,208.367,208.269,ns,,,,,
"benchmark_cpp/4096",1839065,376.336,376.169,ns,,,,,
"benchmark_cpp/8192",987933,721.232,720.904,ns,,,,,
"benchmark_cpp/16384",458123,1548.33,1547.67,ns,,,,,
"benchmark_cpp/32768",224103,3152.88,3151.5,ns,,,,,
"benchmark_cpp/65536",111448,6490.57,6487.72,ns,,,,,
"benchmark_cpp/131072",54453,12885.6,12879.8,ns,,,,,
"benchmark_cpp/262144",26862,26127.8,26116,ns,,,,,
"benchmark_cpp/524288",13004,53802,53776.1,ns,,,,,
"benchmark_cpp/1048576",5337,129182,129121,ns,,,,,
"benchmark_cpp/2097152",2330,300145,300001,ns,,,,,
"benchmark_cpp/4194304",1163,587024,586767,ns,,,,,
"benchmark_cpp/8388608",604,1.20146e+06,1.20093e+06,ns,,,,,
"benchmark_cpp/16777216",280,2.46259e+06,2.46142e+06,ns,,,,,
"benchmark_sse2/4",23538435,29.9672,29.9548,ns,,,,,
"benchmark_sse2/16",18546372,37.6199,37.6041,ns,,,,,
"benchmark_sse2/256",11290685,62.2723,62.2459,ns,,,,,
"benchmark_sse2/512",8145370,85.4006,85.365,ns,,,,,
"benchmark_sse2/1024",5268604,134.116,134.061,ns,,,,,
"benchmark_sse2/2048",3057601,228.703,228.607,ns,,,,,
"benchmark_sse2/4096",1664799,420.411,420.243,ns,,,,,
"benchmark_sse2/8192",896502,800.306,799.977,ns,,,,,
"benchmark_sse2/16384",417918,1671.92,1671.23,ns,,,,,
"benchmark_sse2/32768",206764,3403.19,3401.79,ns,,,,,
"benchmark_sse2/65536",102942,6909.4,6906.65,ns,,,,,
"benchmark_sse2/131072",50526,13917.2,13911.8,ns,,,,,
"benchmark_sse2/262144",24956,28377.4,28365.7,ns,,,,,
"benchmark_sse2/524288",12472,57671.8,57647.9,ns,,,,,
"benchmark_sse2/1048576",4974,134711,134655,ns,,,,,
"benchmark_sse2/2097152",2253,308523,308401,ns,,,,,
"benchmark_sse2/4194304",1128,601659,601391,ns,,,,,
"benchmark_sse2/8388608",587,1.2216e+06,1.22113e+06,ns,,,,,
"benchmark_sse2/16777216",274,2.50869e+06,2.50781e+06,ns,,,,,
