name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"benchmark_c/4",38195715,18.2949,18.2884,ns,,,,,
"benchmark_c/16",30168129,23.2462,23.2377,ns,,,,,
"benchmark_c/256",6922376,101.785,101.747,ns,,,,,
"benchmark_c/512",3795384,184.45,184.382,ns,,,,,
"benchmark_c/1024",1997508,350.815,350.679,ns,,,,,
"benchmark_c/2048",1028395,687.727,687.48,ns,,,,,
"benchmark_c/4096",519255,1351.74,1351.25,ns,,,,,
"benchmark_c/8192",259218,2675.56,2674.61,ns,,,,,
"benchmark_c/16384",130650,5323.2,5321.41,ns,,,,,
"benchmark_c/32768",65654,10675.6,10672,ns,,,,,
"benchmark_c/65536",33081,21386.4,21379,ns,,,,,
"benchmark_c/131072",16480,42573.9,42559.6,ns,,,,,
"benchmark_c/262144",8387,84997.8,84968.7,ns,,,,,
"benchmark_c/524288",4205,169721,169659,ns,,,,,
"benchmark_c/1048576",1997,345461,345319,ns,,,,,
"benchmark_c/2097152",913,749212,748881,ns,,,,,
"benchmark_c/4194304",480,1.46956e+06,1.46897e+06,ns,,,,,
"benchmark_c/8388608",251,2.87859e+06,2.87721e+06,ns,,,,,
"benchmark_c/16777216",134,6.09735e+06,6.09492e+06,ns,,,,,
"benchmark_c_unrolled_8/4",37812088,18.5669,18.5601,ns,,,,,
"benchmark_c_unrolled_8/16",31986370,22.2509,22.2433,ns,,,,,
"benchmark_c_unrolled_8/256",10404304,67.2752,67.2534,ns,,,,,
"benchmark_c_unrolled_8/512",6124259,114.49,114.449,ns,,,,,
"benchmark_c_unrolled_8/1024",3374530,212.073,212.009,ns,,,,,
"benchmark_c_unrolled_8/2048",1767011,395.359,395.239,ns,,,,,
"benchmark_c_unrolled_8/4096",911370,780.611,780.374,ns,,,,,
"benchmark_c_unrolled_8/8192",461397,1521.59,1521.08,ns,,,,,
"benchmark_c_unrolled_8/16384",232408,3057.23,3056.26,ns,,,,,
"benchmark_c_unrolled_8/32768",116685,6023.97,6022.05,ns,,,,,
"benchmark_c_unrolled_8/65536",59071,12103.8,12100.1,ns,,,,,
"benchmark_c_unrolled_8/131072",29337,23957.3,23949,ns,,,,,
"benchmark_c_unrolled_8/262144",14685,47952.4,47937.2,ns,,,,,
"benchmark_c_unrolled_8/524288",7473,95962.3,95928.8,ns,,,,,
"benchmark_c_unrolled_8/1048576",3433,201065,200994,ns,,,,,
"benchmark_c_unrolled_8/2097152",1569,436276,436100,ns,,,,,
"benchmark_c_unrolled_8/4194304",821,840072,839759,ns,,,,,
"benchmark_c_unrolled_8/8388608",430,1.69409e+06,1.69346e+06,ns,,,,,
"benchmark_c_unrolled_8/16777216",201,3.5193e+06,3.518e+06,ns,,,,,
"benchmark_cpp/4",37364605,18.8023,18.7964,ns,,,,,
"benchmark_cpp/16",31136624,22.5724,22.5656,ns,,,,,
"benchmark_cpp/256",9849309,71.3063,71.2862,ns,,,,,
"benchmark_cpp/512",5676654,122.97,122.936,ns,,,,,
"benchmark_cpp/1024",3085003,226.812,226.75,ns,,,,,
"benchmark_cpp/2048",1609696,434.262,434.144,ns,,,,,
"benchmark_cpp/4096",825137,850.639,850.405,ns,,,,,
"benchmark_cpp/8192",417031,1680.81,1680.35,ns,,,,,
"benchmark_cpp/16384",209940,3335.96,3335.08,ns,,,,,
"benchmark_cpp/32768",105169,6669.03,6667.08,ns,,,,,
"benchmark_cpp/65536",52925,13351.7,13348,ns,,,,,
"benchmark_cpp/131072",26353,26597.5,26590.1,ns,,,,,
"benchmark_cpp/262144",13445,53095.9,53080.4,ns,,,,,
"benchmark_cpp/524288",6667,106266,106233,ns,,,,,
"benchmark_cpp/1048576",3139,220709,220646,ns,,,,,
"benchmark_cpp/2097152",1441,478808,478656,ns,,,,,
"benchmark_cpp/4194304",745,922774,922487,ns,,,,,
"benchmark_cpp/8388608",392,1.81976e+06,1.81921e+06,ns,,,,,
"benchmark_cpp/16777216",184,3.8278e+06,3.82633e+06,ns,,,,,
"benchmark_sse2/4",50792902,13.816,13.8118,ns,,,,,
"benchmark_sse2/16",33989752,20.6196,20.614,ns,,,,,
"benchmark_sse2/256",16899268,41.3201,41.3088,ns,,,,,
"benchmark_sse2/512",11398481,61.6902,61.675,ns,,,,,
"benchmark_sse2/1024",6817517,103.219,103.194,ns,,,,,
"benchmark_sse2/2048",3745729,186.622,186.575,ns,,,,,
"benchmark_sse2/4096",1991359,352.401,352.317,ns,,,,,
"benchmark_sse2/8192",1023230,686.348,686.16,ns,,,,,
"benchmark_sse2/16384",465775,1507.14,1506.75,ns,,,,,
"benchmark_sse2/32768",226405,3089.32,3088.51,ns,,,,,
"benchmark_sse2/65536",113400,6251.81,6250.11,ns,,,,,
"benchmark_sse2/131072",54898,12847.6,12844.2,ns,,,,,
"benchmark_sse2/262144",27194,25957.7,25951.1,ns,,,,,
"benchmark_sse2/524288",13715,52263.1,52250.8,ns,,,,,
"benchmark_sse2/1048576",5429,125651,125608,ns,,,,,
"benchmark_sse2/2097152",2371,293340,293253,ns,,,,,
"benchmark_sse2/4194304",1177,579782,579628,ns,,,,,
"benchmark_sse2/8388608",618,1.17158e+06,1.17125e+06,ns,,,,,
"benchmark_sse2/16777216",287,2.40402e+06,2.40327e+06,ns,,,,,
